id;domain;priority;method;control;scenario;evidence;acceptance;initial_state
UX-020;11. UX;P1;DIR;Intervalo: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-021;11. UX;P1;PAINEL HUMANO;Pós-jogo: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em resultado, notas e eventos.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-022;11. UX;P0;DIR;Pós-jogo: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-023;11. UX;P1;PAINEL HUMANO;Fase de grupos: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em tabela, rodada e classificação.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-024;11. UX;P1;DIR;Fase de grupos: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-025;11. UX;P1;PAINEL HUMANO;Chaveamento: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em caminho do mata-mata e confronto atual.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-026;11. UX;P1;DIR;Chaveamento: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-027;11. UX;P1;PAINEL HUMANO;Configurações: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em áudio, velocidade, visual e acessibilidade.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-028;11. UX;P1;DIR;Configurações: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-029;11. UX;P1;PAINEL HUMANO;Salvar/carregar: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em lista, data, versão e confirmação.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-030;11. UX;P0;DIR;Salvar/carregar: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-031;11. UX;P1;PAINEL HUMANO;Ajuda/tutorial: compreensão imediata;"Abrir a tela sem instrução prévia e pedir a 3 usuários que indiquem a ação principal; foco em explicação contextual sem bloquear fluxo.";taxa de acerto + comentários;Pelo menos 2/3 identificam a ação principal em até 5 s.;PENDENTE 2.5D
UX-032;11. UX;P1;DIR;Ajuda/tutorial: conclusão sem bloqueio;Executar o fluxo principal e um caminho de volta/cancelamento.;vídeo do fluxo;Fluxo termina sem botão oculto, estado morto, perda silenciosa ou navegação circular.;PENDENTE 2.5D
UX-033;11. UX;P0;PAINEL HUMANO;Placar: leitura em um olhar;Partida em desktop e mobile.;teste de 3 s;Usuário identifica seleções, placar e tempo em até 3 s.;PENDENTE 2.5D
UX-034;11. UX;P1;DIR;Velocidade: estado visível;Alternar 1.0x, 1.8x e 3.6x.;capturas;Velocidade ativa é inequívoca e controle é fácil de alcançar.;PENDENTE 2.5D
UX-035;11. UX;P0;DIR;Pausa: estado e retomada;Pausar durante lance.;vídeo;"Estado pausado é claro; retomar exige uma ação e não gera clique acidental.";PENDENTE 2.5D
UX-036;11. UX;P1;DIR;Mentalidade: efeito compreensível;Trocar defensiva/equilibrada/ofensiva.;UI + tooltip;Usuário entende alteração sem sliders ambíguos ou duplicidade de comando.;PENDENTE 2.5D
UX-037;11. UX;P1;DIR;Tabs Tudo/Adversário/Estatísticas;Alternar durante jogo.;vídeo;Conteúdo muda sem perder contexto ou cobrir ação crítica permanentemente.;PENDENTE 2.5D
UX-038;11. UX;P0;AUTO+VIS;Eventos: ordem cronológica;Partida com gols, cartões e substituições.;lista x log;"Ordem e minuto correspondem ao motor; duplicatas ausentes.";PENDENTE 2.5D
UX-039;11. UX;P0;AUTO;Estatísticas: consistência;Comparar painel e resultado final.;snapshot antes/depois;Números iguais e rótulos claros.;PENDENTE 2.5D
UX-040;11. UX;P1;PAINEL HUMANO;Momentum: interpretação;Mudanças de domínio.;teste de compreensão;Usuários entendem tendência sem confundir com probabilidade garantida de gol.;PENDENTE 2.5D
UX-041;11. UX;P1;VIS;Destaques: não ocultar jogo;Eventos importantes aparecem.;vídeo;Overlay é breve, legível e não impede acompanhar a bola.;PENDENTE 2.5D
UX-042;11. UX;P0;DIR;Botão continuar pós-jogo;Resultado encerrado.;vídeo;Botão é visível, funciona uma vez e avança à tela correta.;PENDENTE 2.5D
UX-043;11. UX;P1;DIR;Mensagem de erro acionável;Forçar falha de save/build/dados.;captura da mensagem;Explica o que ocorreu, impacto e ação possível sem stack técnico bruto.;PENDENTE 2.5D
UX-044;11. UX;P1;DIR;Confirmação de ação destrutiva;Apagar save ou reiniciar torneio.;vídeo;Exige confirmação clara e oferece cancelar.;PENDENTE 2.5D
UX-045;11. UX;P0;DIR;Prevenção de escolha duplicada no draft;Tentar selecionar atleta já escolhido.;vídeo + estado;Ação é bloqueada antes de corromper elenco e motivo é mostrado.;PENDENTE 2.5D
UX-046;11. UX;P0;DIR;Salvaguarda 10/11 sem reroll;Chegar ao fim do draft com elenco incompleto.;vídeo;"Sistema oferece caminho válido para completar; não prende o usuário.";PENDENTE 2.5D
UX-047;11. UX;P2;DIR;Persistência de preferências;Alterar áudio, velocidade e layout.;reabertura da página;Preferências suportadas permanecem e podem ser resetadas.;PENDENTE 2.5D
UX-048;11. UX;P1;DIR;Voltar sem perder alterações;Entrar em subpainel tático e retornar.;antes/depois;"Mudanças confirmadas permanecem; não confirmadas são tratadas explicitamente.";PENDENTE 2.5D
UX-049;11. UX;P2;VIS;Estado vazio;Abrir saves/eventos sem conteúdo.;capturas;Exibe mensagem e próxima ação, não área vazia ambígua.;PENDENTE 2.5D
UX-050;11. UX;P1;VIS;Consistência visual global;Comparar todas as telas.;painel de capturas;Tipografia, espaçamento, cores e componentes seguem sistema único.;PENDENTE 2.5D
MOB-001;12. Mobile;P0;DIR;Abertura em celular real;Abrir build em Android e iOS suportados.;vídeo de carregamento;Chega ao menu sem loading infinito ou tela branca.;PENDENTE 2.5D
MOB-002;12. Mobile;P0;VIS;Retrato: tela inicial;Viewport 360x800 e 390x844.;capturas;"Conteúdo cabe sem rolagem horizontal; CTA principal visível.";PENDENTE 2.5D
MOB-003;12. Mobile;P1;VIS;Paisagem: tela inicial;Viewport 800x360 e 844x390.;capturas;Layout reorganiza sem sobreposição.;PENDENTE 2.5D
MOB-004;12. Mobile;P0;DIR;Retrato: draft;Completar uma escolha.;vídeo;"Cartas, dados e ações são tocáveis; nenhuma informação essencial cortada.";PENDENTE 2.5D
MOB-005;12. Mobile;P1;DIR;Paisagem: draft;Completar uma escolha.;vídeo;Usa largura adicional e mantém botões discretos.;PENDENTE 2.5D
MOB-006;12. Mobile;P0;DIR;Retrato: formação;Mover jogador e abrir detalhes.;vídeo;Campo e reservas utilizáveis sem zoom involuntário.;PENDENTE 2.5D
MOB-007;12. Mobile;P0;DIR;Paisagem: formação;Mover jogador e ajustar tática.;vídeo;Mais campo visível e painéis não cobrem posições.;PENDENTE 2.5D
MOB-008;12. Mobile;P0;DIR;Retrato: partida;Jogar cinco minutos.;vídeo;"Placar, campo e controles essenciais visíveis; sem corte do palco.";PENDENTE 2.5D
MOB-009;12. Mobile;P0;DIR;Paisagem: partida;Jogar cinco minutos.;vídeo;Campo maximizado e HUD compacto.;PENDENTE 2.5D
MOB-010;12. Mobile;P0;DIR;Rotação durante partida;Alternar retrato/paisagem três vezes.;vídeo + console;Recalcula layout/caches sem reiniciar ou alterar lógica.;PENDENTE 2.5D
MOB-011;12. Mobile;P1;DIR;Rotação em telas de menu;Alternar orientação no draft e formação.;vídeo;Estado e seleção preservados.;PENDENTE 2.5D
MOB-012;12. Mobile;P0;VIS;Safe area de notch;Dispositivo com recorte superior.;captura;Placar e botões respeitam safe-area-inset.;PENDENTE 2.5D
MOB-013;12. Mobile;P0;VIS;Safe area inferior;Dispositivo com barra gestual.;captura;Ações não ficam sob a barra do sistema.;PENDENTE 2.5D
MOB-014;12. Mobile;P1;A11Y;Alvos de toque;Medir botões principais.;relatório de dimensões;Alvos essenciais >=44x44 CSS px ou espaçamento equivalente.;PENDENTE 2.5D
MOB-015;12. Mobile;P0;DIR;Sem toque duplo acidental;Tocar rapidamente em continuar/substituir.;vídeo + eventos;Ação executa uma vez e desabilita durante processamento.;PENDENTE 2.5D
MOB-016;12. Mobile;P0;DIR;Arrastar jogador;Mover atleta em formação com dedo.;vídeo;Elemento acompanha dedo, possui área de soltura clara e não rola página.;PENDENTE 2.5D
MOB-017;12. Mobile;P1;DIR;Rolagem em painéis;Abrir lista longa de eventos/elenco.;vídeo;Rolagem interna funciona sem mover campo indevidamente.;PENDENTE 2.5D
MOB-018;12. Mobile;P1;DIR;Pinch-zoom involuntário;Tocar rapidamente no campo.;vídeo;"Jogo não amplia por acidente; zoom do navegador não é bloqueado onde acessibilidade exigir.";PENDENTE 2.5D
MOB-019;12. Mobile;P1;DIR;Teclado virtual;Editar nome/save quando aplicável.;vídeo;Campo permanece visível e layout retorna após fechar teclado.;PENDENTE 2.5D
MOB-020;12. Mobile;P1;DIR;Back do Android;Navegar entre telas e modal.;vídeo;Fecha modal/volta de forma previsvisível sem sair e perder estado.;PENDENTE 2.5D
MOB-021;12. Mobile;P0;DIR;Recarregamento por memória;Alternar para outro app e voltar.;vídeo;"Se página sobreviver, retoma; se recarregar, oferece recuperação segura.";PENDENTE 2.5D
MOB-022;12. Mobile;P2;DIR;Modo tela cheia;Entrar/sair quando suportado.;vídeo;Layout recalcula e controles continuam acessíveis.;PENDENTE 2.5D
MOB-023;12. Mobile;P1;DIR;Áudio sob política móvel;Iniciar jogo sem interação prévia.;console + vídeo;"Não gera erro; áudio inicia somente após gesto quando exigido.";PENDENTE 2.5D
MOB-024;12. Mobile;P1;DIR;Toque durante animação;Tocar em controles enquanto VFX ocorre.;vídeo;"Inputs essenciais respondem; ações bloqueadas indicam estado.";PENDENTE 2.5D
MOB-025;12. Mobile;P1;DIR;Painel de estatísticas móvel;Abrir/fechar repetidamente.;vídeo;Não cobre permanentemente placar/campo e possui fechamento claro.;PENDENTE 2.5D
MOB-026;12. Mobile;P0;DIR;Painel tático móvel;Alterar mentalidade e formação.;vídeo;Controles cabem e confirmação é inequívoca.;PENDENTE 2.5D
MOB-027;12. Mobile;P1;A11Y+VIS;Texto a 200% no mobile;Aumentar tamanho do sistema/navegador.;capturas;Fluxo principal permanece utilizável sem conteúdo essencial cortado.;PENDENTE 2.5D
MOB-028;12. Mobile;P2;PAINEL HUMANO;Contraste sob brilho externo;Avaliar em tela real com brilho alto.;registro de leitura;Placar, bola e ações continuam distinguíveis.;PENDENTE 2.5D
MOB-029;12. Mobile;P0;PERF;FPS móvel em 1.0x;Partida de 10 min em aparelho intermediário.;frame time;Mediana >=45 FPS e p95 frame time <=33 ms, sem travadas longas.;PENDENTE 2.5D
MOB-030;12. Mobile;P0;PERF;FPS móvel em TURBO;Partida de 5 min em 3.6x.;frame time;Mediana >=30 FPS e nenhum travamento superior a 250 ms.;PENDENTE 2.5D
MOB-031;12. Mobile;P0;PERF;Memória móvel;Jogar três partidas seguidas.;heap por partida;Crescimento líquido <=15% após coleta e retorno ao menu.;PENDENTE 2.5D
MOB-032;12. Mobile;P1;PERF;Temperatura/bateria;Jogar 20 min em aparelho real.;temperatura, bateria e throttling;Sem throttling severo que torne partida impraticável.;PENDENTE 2.5D
MOB-033;12. Mobile;P1;DIR;Conexão offline;Abrir arquivo/cache sem rede.;vídeo;"Funcionalidade autocontida disponível; falhas online opcionais não bloqueiam.";PENDENTE 2.5D
MOB-034;12. Mobile;P1;DIR;Compartilhamento/baixar HTML;Abrir por arquivo local ou GitHub Pages.;vídeos em ambos;Mesma versão e comportamento essencial.;PENDENTE 2.5D
MOB-035;12. Mobile;P0;DIR;Compatibilidade de navegadores móveis;Chrome Android e Safari iOS suportados.;matriz de execução;Todos os fluxos P0 passam nos dois motores.;PENDENTE 2.5D
A11Y-001;13. Acessibilidade;P0;A11Y;Navegação completa por teclado;Percorrer menus, draft, formação, táticas e pós-jogo.;roteiro + vídeo;Toda ação essencial alcançável sem mouse.;PENDENTE 2.5D
A11Y-002;13. Acessibilidade;P0;A11Y;Ordem de foco;Tabular cada tela.;sequência de foco;Ordem segue leitura visual e não entra em elementos ocultos.;PENDENTE 2.5D
A11Y-003;13. Acessibilidade;P0;A11Y+VIS;Indicador de foco visível;Focar botões, tabs e cards.;capturas;Foco tem contraste e não depende apenas de cor sutil.;PENDENTE 2.5D
A11Y-004;13. Acessibilidade;P1;A11Y;Escape fecha modais;Abrir configurações, ajuda e confirmações.;vídeo;Esc fecha modal e devolve foco ao acionador.;PENDENTE 2.5D
A11Y-005;13. Acessibilidade;P0;A11Y;Enter/Espaço ativam controles;Focar botões customizados.;vídeo;Comportamento equivalente ao clique.;PENDENTE 2.5D
A11Y-006;13. Acessibilidade;P0;A11Y;Rótulos acessíveis;Inspecionar controles sem texto visível.;árvore de acessibilidade;Todos possuem nome acessível único e descritivo.;PENDENTE 2.5D
A11Y-007;13. Acessibilidade;P1;A11Y;Estados acessíveis;Tabs, seleção, pausa e velocidade.;árvore AX;Estado selecionado/expandido/pressionado é exposto.;PENDENTE 2.5D
A11Y-008;13. Acessibilidade;P1;A11Y;Anúncio de placar;Gol válido e anulado.;leitor de tela;Mudança é anunciada uma vez sem interromper navegação excessivamente.;PENDENTE 2.5D
A11Y-009;13. Acessibilidade;P0;A11Y;Anúncio de erro;Forçar erro de save.;leitor de tela;Mensagem recebe foco ou live region adequada.;PENDENTE 2.5D
A11Y-010;13. Acessibilidade;P1;A11Y;Semântica de títulos;Inspecionar todas as telas.;outline de headings;Hierarquia lógica sem saltos arbitrários.;PENDENTE 2.5D
A11Y-011;13. Acessibilidade;P0;A11Y;Contraste de texto;Medir textos e botões.;relatório WCAG;Atende 4,5:1 normal e 3:1 grande, salvo exceções justificadas.;PENDENTE 2.5D
A11Y-012;13. Acessibilidade;P1;A11Y;Contraste de componentes;Foco, bordas e controles.;relatório;Atende 3:1 contra adjacências relevantes.;PENDENTE 2.5D
A11Y-013;13. Acessibilidade;P0;A11Y;Cor não é única informação;Times, status, momentum, cartões.;capturas em escala de cinza;Ícone, texto, padrão ou posição complementa a cor.;PENDENTE 2.5D
A11Y-014;13. Acessibilidade;P0;A11Y+VIS;Tamanho de texto 200%;Aplicar zoom 200%.;capturas/fluxo;Sem perda de conteúdo ou funcionalidade essencial.;PENDENTE 2.5D
A11Y-015;13. Acessibilidade;P1;A11Y+VIS;Reflow 320 CSS px;Viewport estreito com zoom.;capturas;Sem rolagem em duas dimensões no fluxo principal, exceto campo quando justificado.;PENDENTE 2.5D
A11Y-016;13. Acessibilidade;P1;A11Y+VIS;Movimento reduzido;Ativar prefers-reduced-motion.;comparação;Reduz câmera, pulso, rastro e transições não essenciais.;PENDENTE 2.5D
A11Y-017;13. Acessibilidade;P0;A11Y;Sem flashes perigosos;Executar gols, VFX e turbo.;análise de vídeo;Nenhum flash acima de limites de frequência/área.;PENDENTE 2.5D
A11Y-018;13. Acessibilidade;P2;A11Y;Alternativa textual ao momentum;Usar leitor de tela.;árvore AX;Tendência possui texto/valor acessível.;PENDENTE 2.5D
A11Y-019;13. Acessibilidade;P1;A11Y;Alternativa à informação espacial;Formação e campo.;leitor de tela/estrutura;Lista de jogadores, posição e estado disponível fora do mapa visual.;PENDENTE 2.5D
A11Y-020;13. Acessibilidade;P0;A11Y;Feedback de drag por teclado;Mover jogador sem arrastar.;vídeo;Existe alternativa de seleção e troca por teclado.;PENDENTE 2.5D
A11Y-021;13. Acessibilidade;P2;A11Y;Idioma do documento;Inspecionar HTML.;validador;lang correto e textos em português consistentes.;PENDENTE 2.5D
A11Y-022;13. Acessibilidade;P2;A11Y;Texto de links/botões;Revisar nomes acessíveis.;inventário;Evita rótulos vagos repetidos sem contexto.;PENDENTE 2.5D
A11Y-023;13. Acessibilidade;P1;A11Y;Tempo ajustável;Mensagens/overlays temporizados.;roteiro;Informação essencial não desaparece antes de ser lida ou pode ser revisitada.;PENDENTE 2.5D
A11Y-024;13. Acessibilidade;P1;A11Y;Áudio não obrigatório;Desativar som.;fluxo completo;Nenhuma informação essencial depende exclusivamente de áudio.;PENDENTE 2.5D
A11Y-025;13. Acessibilidade;P0;A11Y;Leitor de tela no fluxo principal;Completar novo jogo até pós-jogo.;gravação NVDA/VoiceOver;Fluxo P0 completável com nomes, estados e mensagens compreensíveis.;PENDENTE 2.5D
PERF-001;14. Performance;P1;PERF;Tempo até primeira tela;Carregamento frio do HTML.;Performance trace;Tela inicial interativa <=3 s em desktop de referência e <=5 s móvel intermediário.;PENDENTE 2.5D
PERF-002;14. Performance;P1;PERF;Tempo para iniciar partida;Do clique em jogar ao primeiro frame.;marcas de tempo;<=2 s desktop e <=4 s móvel, excluindo ação humana.;PENDENTE 2.5D
PERF-003;14. Performance;P0;PERF;FPS desktop 1.0x;Partida de 15 min em 1920x1080.;frame time;Mediana >=58 FPS e p95 <=20 ms.;PENDENTE 2.5D
PERF-004;14. Performance;P1;PERF;FPS desktop 1.8x;Partida de 10 min.;frame time;Mediana >=55 FPS e p95 <=24 ms.;PENDENTE 2.5D
PERF-005;14. Performance;P0;PERF;FPS desktop 3.6x;Partida de 10 min.;frame time;"Mediana >=50 FPS e p95 <=28 ms; sem pulso/rastro acumulado.";PENDENTE 2.5D
PERF-006;14. Performance;P0;PERF;FPS mobile 1.0x;Aparelho intermediário em paisagem.;frame time;Mediana >=45 FPS e p95 <=33 ms.;PENDENTE 2.5D
PERF-007;14. Performance;P0;PERF;FPS mobile 3.6x;Aparelho intermediário.;frame time;"Mediana >=30 FPS; nenhum freeze >250 ms.";PENDENTE 2.5D
PERF-008;14. Performance;P0;PERF;Long tasks;Partida completa desktop.;trace main thread;"Nenhuma long task >200 ms; no máximo 3 acima de 50 ms por minuto.";PENDENTE 2.5D
PERF-009;14. Performance;P1;PERF;Input latency;Pausa, tabs e táticas durante jogo.;event timing;Resposta visual p95 <=100 ms.;PENDENTE 2.5D
PERF-010;14. Performance;P0;PERF;Memória por partida;Executar uma partida e voltar ao menu.;heap snapshots;Heap retorna a até 10% do baseline após GC.;PENDENTE 2.5D
PERF-011;14. Performance;P0;PERF;Memória em 20 partidas;Executar lote no mesmo navegador.;heap por partida;"Sem tendência linear; crescimento líquido <=20%.";PENDENTE 2.5D
PERF-012;14. Performance;P0;AUTO;Vazamento de listeners;Abrir/fechar partida e painéis repetidamente.;contagem de listeners;Contagem retorna ao baseline.;PENDENTE 2.5D
PERF-013;14. Performance;P0;AUTO;Vazamento de timers;Pausar, acelerar e sair.;timers ativos;Nenhum loop da partida anterior permanece.;PENDENTE 2.5D
PERF-014;14. Performance;P1;PERF;Vazamento de nós DOM;Alternar telas 50 vezes.;DOM node count;"Sem crescimento contínuo; nós órfãos removidos.";PENDENTE 2.5D
PERF-015;14. Performance;P1;PERF;Custo de nomes/labels;Ativar todos os nomes em aglomeração.;perfil de render;Anticolisão não consome >15% do frame budget.;PENDENTE 2.5D
PERF-016;14. Performance;P2;PERF;Custo de sombras;Comparar sombras on/off.;perfil comparativo;Sombras não adicionam mais de 4 ms p95 no dispositivo alvo.;PENDENTE 2.5D
PERF-017;14. Performance;P1;PERF;Custo de VFX;Sequência de gols, chutes e desarmes.;perfil;Pico permanece dentro do frame budget e objetos expiram.;PENDENTE 2.5D
PERF-018;14. Performance;P0;PERF;Custo de projeção 2.5D;Amostrar transformação por frame.;CPU profile;Projeção/câmera juntas <=25% do tempo de scripting/render do frame.;PENDENTE 2.5D
PERF-019;14. Performance;P1;PERF;Cache de projeção;Rotacionar e redimensionar 20 vezes.;heap + contagem cache;Cache é invalidado corretamente e estabiliza.;PENDENTE 2.5D
PERF-020;14. Performance;P1;PERF;Tempo de recalcular layout;Trocar retrato/paisagem.;timeline;Layout estabiliza <=250 ms sem loop de reflow.;PENDENTE 2.5D
PERF-021;14. Performance;P1;PERF;Layout thrashing;Partida com HUD e painéis.;performance trace;Nenhum ciclo recorrente de leitura/escrita forçada domina frames.;PENDENTE 2.5D
PERF-022;14. Performance;P2;AUTO;Tamanho do HTML;Medir build final.;bytes e comparação;"Crescimento é justificado; alvo <=2,5 MB salvo exceção documentada.";PENDENTE 2.5D
PERF-023;14. Performance;P1;PERF;Tempo de parsing;Carregamento frio.;trace parse/compile;JS parse+compile <=1 s desktop e <=2 s móvel alvo.;PENDENTE 2.5D
PERF-024;14. Performance;P1;PERF;Uso de CPU em pausa;Partida pausada por 60 s.;CPU média;"Uso cai para próximo do ocioso; nenhum loop pesado continua.";PENDENTE 2.5D
PERF-025;14. Performance;P0;PERF;Uso de CPU em aba oculta;Ocultar por 60 s.;CPU e timers;"Loops são reduzidos/suspensos; retorno sem avalanche de ticks.";PENDENTE 2.5D
PERF-026;14. Performance;P1;DIR+PERF;Estabilidade após suspensão;Notebook dorme e retorna.;vídeo + console;"Jogo recupera ou pausa com mensagem; sem crash.";PENDENTE 2.5D
PERF-027;14. Performance;P1;PERF;Compatibilidade sem GPU dedicada;Executar em gráficos integrados.;FPS e erros;Fluxo P0 permanece jogável dentro de meta reduzida documentada.;PENDENTE 2.5D
PERF-028;14. Performance;P1;PERF;Thermal throttling móvel;Sessão de 20 min.;FPS/temperatura no tempo;Queda de FPS <30% e sem travamento prolongado.;PENDENTE 2.5D
PERF-029;14. Performance;P2;PERF;Exportação de relatório;Gerar logs completos após lote.;tempo e tamanho;Exporta sem congelar UI por >500 ms e sem truncar dados.;PENDENTE 2.5D
PERF-030;14. Performance;P1;PERF;Performance reproduzível;Repetir benchmark três vezes.;médias e desvio;Variação das métricas principais <=10%, ou causa externa documentada.;PENDENTE 2.5D
